P_tau,P_tau_S,P_tau_W,P_t,P_t_S,P_t_W,lambda_D,lambda_A,r_plus,r_minus,Pi,Zeros,O_Rank
24038.01,18395.16,5642.85,14683.38,12719.9,1963.48,20.0,23.0,1.0,1.5,0.023625,0.0,1
24038.01,18395.16,5642.85,27991.94,24479.99,3511.95,20.0,23.0,1.0,1.5,0.023625,0.0,1
24038.01,18395.16,5642.85,23576.17,18361.16,5215.0,20.0,23.0,1.0,1.5,0.023625,0.0,1
24038.01,18395.16,5642.85,17814.59,10319.65,7494.94,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
24038.01,18395.16,5642.85,14683.38,12719.9,1963.48,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
24038.01,18395.16,5642.85,27991.94,24479.99,3511.95,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
24038.01,18395.16,5642.85,23576.17,18361.16,5215.0,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
24038.01,18395.16,5642.85,17814.59,10319.65,7494.94,50.0,53.0,0.9,1.0,0.006750000000000001,0.0,2
24038.01,18395.16,5642.85,14683.38,12719.9,1963.48,50.0,53.0,0.9,1.0,0.006750000000000001,0.0,2
24038.01,18395.16,5642.85,27991.94,24479.99,3511.95,50.0,53.0,0.9,1.0,0.006750000000000001,0.0,2
24038.01,18395.16,5642.85,23576.17,18361.16,5215.0,50.0,53.0,0.9,1.0,0.006750000000000001,0.0,2
24038.01,18395.16,5642.85,17814.59,10319.65,7494.94,20.0,10.0,0.9,1.0,0.001125,0.0,1
24038.01,18395.16,5642.85,14683.38,12719.9,1963.48,20.0,10.0,0.9,1.0,0.001125,0.0,1
24038.01,18395.16,5642.85,27991.94,24479.99,3511.95,20.0,10.0,0.9,1.0,0.001125,0.0,1
24038.01,18395.16,5642.85,23576.17,18361.16,5215.0,20.0,10.0,0.9,1.0,0.001125,0.0,1
24038.01,18395.16,5642.85,17814.59,10319.65,7494.94,20.0,23.0,0.9,1.0,0.010125,0.0,1
24038.01,18395.16,5642.85,14683.38,12719.9,1963.48,20.0,23.0,0.9,1.0,0.010125,0.0,1
24038.01,18395.16,5642.85,27991.94,24479.99,3511.95,20.0,23.0,0.9,1.0,0.010125,0.0,1
24038.01,18395.16,5642.85,23576.17,18361.16,5215.0,20.0,23.0,0.9,1.0,0.010125,0.0,1
14941.81,13080.81,1860.99,18239.74,10179.68,8060.06,50.0,40.0,1.0,1.5,0.0017500000000000003,0.0,2
14941.81,13080.81,1860.99,24923.11,18259.47,6663.64,50.0,40.0,1.0,1.5,0.0017500000000000003,0.0,2
14941.81,13080.81,1860.99,14062.94,11324.96,2737.98,50.0,40.0,1.0,1.5,0.0017500000000000003,0.0,2
14941.81,13080.81,1860.99,19818.13,18899.08,919.05,50.0,40.0,1.0,1.5,0.0017500000000000003,0.0,2
14941.81,13080.81,1860.99,18239.74,10179.68,8060.06,50.0,53.0,1.0,1.5,0.01575,0.0,2
14941.81,13080.81,1860.99,24923.11,18259.47,6663.64,50.0,53.0,1.0,1.5,0.01575,0.0,2
14941.81,13080.81,1860.99,14062.94,11324.96,2737.98,50.0,53.0,1.0,1.5,0.01575,0.0,2
14941.81,13080.81,1860.99,19818.13,18899.08,919.05,50.0,53.0,1.0,1.5,0.01575,0.0,2
14941.81,13080.81,1860.99,18239.74,10179.68,8060.06,20.0,10.0,1.0,1.5,0.0026249999999999997,0.0,1
14941.81,13080.81,1860.99,24923.11,18259.47,6663.64,20.0,10.0,1.0,1.5,0.0026249999999999997,0.0,1
14941.81,13080.81,1860.99,14062.94,11324.96,2737.98,20.0,10.0,1.0,1.5,0.0026249999999999997,0.0,1
14941.81,13080.81,1860.99,19818.13,18899.08,919.05,20.0,10.0,1.0,1.5,0.0026249999999999997,0.0,1
14941.81,13080.81,1860.99,18239.74,10179.68,8060.06,20.0,23.0,1.0,1.5,0.023625,0.0,1
14941.81,13080.81,1860.99,24923.11,18259.47,6663.64,20.0,23.0,1.0,1.5,0.023625,0.0,1
14941.81,13080.81,1860.99,14062.94,11324.96,2737.98,20.0,23.0,1.0,1.5,0.023625,0.0,1
14941.81,13080.81,1860.99,19818.13,18899.08,919.05,20.0,23.0,1.0,1.5,0.023625,0.0,1
14941.81,13080.81,1860.99,18239.74,10179.68,8060.06,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
14941.81,13080.81,1860.99,24923.11,18259.47,6663.64,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
14941.81,13080.81,1860.99,14062.94,11324.96,2737.98,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
14941.81,13080.81,1860.99,19818.13,18899.08,919.05,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
14941.81,13080.81,1860.99,18239.74,10179.68,8060.06,50.0,53.0,0.9,1.0,0.006750000000000001,0.0,2
14941.81,13080.81,1860.99,24923.11,18259.47,6663.64,50.0,53.0,0.9,1.0,0.006750000000000001,0.0,2
14941.81,13080.81,1860.99,14062.94,11324.96,2737.98,50.0,53.0,0.9,1.0,0.006750000000000001,0.0,2
14941.81,13080.81,1860.99,19818.13,18899.08,919.05,50.0,53.0,0.9,1.0,0.006750000000000001,0.0,2
14941.81,13080.81,1860.99,18239.74,10179.68,8060.06,20.0,10.0,0.9,1.0,0.001125,0.0,1
14941.81,13080.81,1860.99,24923.11,18259.47,6663.64,20.0,10.0,0.9,1.0,0.001125,0.0,1
14941.81,13080.81,1860.99,14062.94,11324.96,2737.98,20.0,10.0,0.9,1.0,0.001125,0.0,1
14941.81,13080.81,1860.99,19818.13,18899.08,919.05,20.0,10.0,0.9,1.0,0.001125,0.0,1
